,Historical Price,Future Actual Price,Predicted,timestep,index,Predicted Upper,Predicted Lower,periodstep,date
0,59.91,,,0,2023-01-31 12:00:00,,,1.0,2023-01-31 12:00:00
1,64.2,,,0,2023-01-31 13:00:00,,,2.0,2023-01-31 13:00:00
2,64.15,,,0,2023-01-31 14:00:00,,,3.0,2023-01-31 14:00:00
3,67.2,,,0,2023-01-31 15:00:00,,,4.0,2023-01-31 15:00:00
4,67.58,,,0,2023-01-31 16:00:00,,,5.0,2023-01-31 16:00:00
5,293.09,,,0,2023-01-31 17:00:00,,,6.0,2023-01-31 17:00:00
6,186.2,,,0,2023-01-31 18:00:00,,,7.0,2023-01-31 18:00:00
7,75.0,,,0,2023-01-31 19:00:00,,,8.0,2023-01-31 19:00:00
8,106.58,,,0,2023-01-31 20:00:00,,,9.0,2023-01-31 20:00:00
9,67.44,,,0,2023-01-31 21:00:00,,,10.0,2023-01-31 21:00:00
10,66.31,,,0,2023-01-31 22:00:00,,,11.0,2023-01-31 22:00:00
11,83.71,,,0,2023-01-31 23:00:00,,,12.0,2023-01-31 23:00:00
12,,65.51,213.5709731435948,0,2023-02-01 00:00:00,811.1284964746795,49.18567746322602,13.0,2023-02-01 00:00:00
13,,57.34,213.50896037897675,0,2023-02-01 01:00:00,810.9809428814613,49.042747497558594,14.0,2023-02-01 01:00:00
14,,55.57,213.4893387233351,0,2023-02-01 02:00:00,812.5118408203125,49.042747497558594,15.0,2023-02-01 02:00:00
15,,56.42,213.4750522055964,0,2023-02-01 03:00:00,812.5118408203125,49.042747497558594,16.0,2023-02-01 03:00:00
16,,59.36,213.36932545143532,0,2023-02-01 04:00:00,812.5118408203125,49.042747497558594,17.0,2023-02-01 04:00:00
17,,60.26,213.18096086154029,0,2023-02-01 05:00:00,812.5118408203125,49.042747497558594,18.0,2023-02-01 05:00:00
18,,55.97,213.22086177467966,0,2023-02-01 06:00:00,812.5118408203125,49.042747497558594,19.0,2023-02-01 06:00:00
19,,60.71,212.75533456953102,0,2023-02-01 07:00:00,812.5118408203125,49.042747497558594,20.0,2023-02-01 07:00:00
20,,60.15,212.43802191405163,0,2023-02-01 08:00:00,812.5118408203125,49.042747497558594,21.0,2023-02-01 08:00:00
21,,57.11,212.96198080661975,0,2023-02-01 09:00:00,812.5118408203125,49.042747497558594,22.0,2023-02-01 09:00:00
22,,58.05,211.7558786174082,0,2023-02-01 10:00:00,812.5118408203125,49.042747497558594,23.0,2023-02-01 10:00:00
23,,61.79,211.67654717216743,0,2023-02-01 11:00:00,812.5118408203125,49.042747497558594,24.0,2023-02-01 11:00:00
0,64.2,,,1,2023-01-31 13:00:00,,,1.0,2023-01-31 13:00:00
1,64.15,,,1,2023-01-31 14:00:00,,,2.0,2023-01-31 14:00:00
2,67.2,,,1,2023-01-31 15:00:00,,,3.0,2023-01-31 15:00:00
3,67.58,,,1,2023-01-31 16:00:00,,,4.0,2023-01-31 16:00:00
4,293.09,,,1,2023-01-31 17:00:00,,,5.0,2023-01-31 17:00:00
5,186.2,,,1,2023-01-31 18:00:00,,,6.0,2023-01-31 18:00:00
6,75.0,,,1,2023-01-31 19:00:00,,,7.0,2023-01-31 19:00:00
7,106.58,,,1,2023-01-31 20:00:00,,,8.0,2023-01-31 20:00:00
